date,"10th percentile","20th percentile","30th percentile","40th percentile","50th percentile (median)","60th percentile","70th percentile","80th percentile","90th percentile"
2003-01-01,11.060842705834554,13.337231750488284,15.87234140994155,18.456204664127707,21.52854754332929,25.254247344234656,30.33824968950203,37.253892407815385,48.67830834185261
2004-01-01,10.992408258360436,13.21020802438313,15.68339477980946,18.436715735249933,21.60127159871235,25.29942697654482,30.27640435763398,37.17399919687675,49.397089686329025
2005-01-01,10.785836729453965,13.113913645077506,15.463756643545231,18.236503205714584,21.47931588393507,25.1847710655568,30.04494952601934,37.131330646927545,49.389031275176286
2006-01-01,10.824724797697149,13.21027831561749,15.399097127800328,18.29788399825135,21.582913200704446,25.308267255734194,30.115522141676664,37.1580263525808,50.128448238535796
2007-01-01,11.001733333333334,13.331911037190755,15.551727516174319,18.350202002970377,21.645307185363777,25.588549448649083,30.522002391560886,37.746971546427396,50.76175566355385
2008-01-01,11.000471614825381,13.318327974276526,15.708897862572359,18.485054183420267,21.635619162899882,25.592293306700295,30.721475349254547,38.00643979971048,51.19471635235852
2009-01-01,11.175827946328077,13.539844501732432,15.943610654620038,18.87206510456076,22.116853985482425,26.33363451301138,31.53498462051994,38.98563908882541,52.440544430145415
2010-01-01,11.15271338638986,13.408804993842057,15.742703643604452,18.699845477547605,21.903376534820392,26.15942147904899,31.321918919071276,38.739417399995666,52.45885445661605
2011-01-01,10.948818532818533,13.08471364708389,15.43441347005838,18.37040652241947,21.442478347837227,25.55732955308126,30.82618973591338,38.281657439596415,51.82265636782846
2012-01-01,10.76787878787879,12.914654544714724,15.271605411876344,18.19387186085093,21.323363897150212,25.45947362079043,30.81022717655066,38.38894422403971,52.303485604488536
2013-01-01,10.850395269336815,12.925154687116246,15.338944118294169,18.276317704708987,21.43507149747745,25.462504341902143,30.912648154618484,38.688562687856724,52.71752155326797
2014-01-01,10.940221402214023,12.888649133886354,15.372169399360015,18.338127807166742,21.439467075249368,25.500869119904582,30.826519195218825,38.57051083227629,52.588641357421885
2015-01-01,11.379535543196662,13.130748529927244,15.738762753372532,18.736278869538758,21.93318272014487,26.060632239472753,31.645420974889223,39.800973086110595,54.665705389251016
2016-01-01,11.739585600332147,13.502594514235229,16.122238883022685,19.057860044867542,22.44008660021848,26.545326966136287,32.18707376103101,40.697802354580844,56.15654421760255
2017-01-01,12.057996490258965,14.038080706479743,16.536432359873828,19.284324036961845,22.778601534397506,26.88760329607408,32.589670869456775,41.221337916092914,57.28977417431291
2018-01-01,12.16229943537746,14.448978582255755,16.98838023886525,19.53083225180299,23.008611362387306,27.164457247670843,32.92460908661105,41.60693838703279,58.03596614950634
2019-01-01,12.361166723276522,14.975857636409959,17.675603458279955,20.175947075605897,23.502477007687634,27.779193166980633,33.74187954349268,42.62026743153882,58.669704084681335
2020-01-01,13.172357689019243,16.106571686336725,18.485440438334848,21.54977884284732,25.042321015873494,29.848668210371983,36.1857074176101,45.43898809251954,63.27847363499533
2021-01-01,13.246083418624506,16.32480433671862,18.35406723655313,21.18369618137705,24.49146350732518,28.958436841832878,35.168402239439764,44.166373679165474,60.794036784872084
2022-01-01,13.382748101194803,16.096821515892422,18.343980553960463,20.95074167340192,24.256465754800445,28.389150195879576,34.45323839257574,43.73706753383347,61.41177298212404
2023-01-01,13.897789554730595,16.287318542839504,18.5998332907284,21.046643240895,24.56885656451058,28.785780210966223,34.768963763786765,43.883713230985755,61.72453826006723
2024-01-01,14.260000038146979,16.69200000762938,18.99092330932618,21.481999816894522,24.8696897125244,29.26466659545898,35.32111145019531,44.70690460205077,62.75
